"sigma_o","sigma_x","Number of Components","Seed"
"14, 4, 5, 8, 75, 74, 15, 13, 41, 27, 28, 62, 55, 50, 23, 45, 39, 46, 52, 22, 64, 35, 70, 2, 6, 44, 71, 16, 65, 72, 7, 9, 42, 48, 1, 37, 49, 12, 53, 36, 60, 51, 59, 19, 17, 56, 21, 58, 29, 11, 30, 26, 10, 24, 32, 40, 33, 31, 18, 34, 67, 73, 3, 69, 68, 61, 47, 25, 54, 63, 20, 66, 38, 57, 43","31, 49, 63, 25, 52, 41, 60, 26, 27, 6, 15, 53, 46, 58, 54, 50, 48, 64, 40, 72, 9, 36, 5, 14, 33, 56, 44, 7, 30, 57, 21, 69, 29, 70, 32, 20, 18, 35, 34, 61, 38, 24, 17, 67, 8, 1, 55, 66, 10, 19, 74, 68, 2, 3, 42, 39, 22, 59, 11, 12, 23, 71, 43, 75, 51, 45, 73, 28, 65, 47, 16, 37, 4, 13, 62","1","13807780"
"21, 40, 29, 66, 50, 3, 26, 14, 13, 23, 9, 73, 47, 45, 72, 12, 38, 25, 65, 16, 8, 74, 70, 7, 59, 5, 75, 41, 4, 37, 31, 55, 32, 22, 19, 63, 53, 1, 56, 28, 58, 60, 11, 68, 67, 24, 17, 10, 61, 52, 30, 71, 34, 33, 51, 57, 64, 46, 20, 15, 27, 39, 49, 35, 18, 6, 42, 2, 48, 62, 44, 43, 54, 69, 36","71, 9, 15, 46, 43, 72, 68, 39, 48, 55, 29, 22, 5, 62, 50, 23, 34, 41, 31, 18, 17, 12, 1, 59, 47, 69, 44, 73, 37, 58, 57, 61, 7, 2, 27, 11, 10, 38, 42, 74, 8, 36, 14, 54, 49, 66, 24, 3, 28, 67, 52, 64, 21, 30, 33, 20, 13, 16, 26, 45, 35, 40, 25, 53, 65, 56, 19, 70, 63, 4, 32, 6, 51, 60, 75","4","13807780"
"13, 27, 47, 20, 11, 44, 37, 1, 46, 45, 7, 30, 58, 24, 16, 54, 34, 2, 42, 70, 15, 26, 56, 32, 59, 65, 64, 36, 6, 14, 23, 40, 71, 8, 73, 50, 22, 29, 4, 60, 33, 41, 43, 52, 66, 72, 61, 38, 31, 3, 35, 48, 74, 21, 55, 19, 10, 75, 69, 39, 5, 67, 28, 51, 18, 49, 57, 63, 62, 17, 53, 12, 9, 25, 68","39, 56, 16, 43, 14, 11, 62, 3, 36, 12, 63, 19, 23, 9, 74, 26, 4, 32, 17, 24, 61, 49, 45, 48, 38, 13, 18, 41, 27, 29, 30, 57, 47, 73, 33, 31, 46, 1, 25, 44, 71, 37, 59, 66, 6, 20, 34, 70, 58, 64, 75, 51, 54, 8, 5, 72, 53, 28, 52, 60, 65, 15, 2, 68, 50, 35, 42, 69, 40, 67, 7, 21, 10, 22, 55","2","13807780"
"57, 19, 37, 13, 7, 75, 27, 53, 24, 16, 40, 11, 22, 26, 43, 35, 29, 14, 66, 33, 67, 51, 20, 39, 34, 71, 42, 41, 21, 18, 45, 70, 44, 56, 2, 3, 64, 65, 69, 5, 28, 55, 30, 61, 54, 25, 36, 38, 9, 49, 31, 48, 4, 32, 17, 8, 47, 72, 58, 46, 68, 12, 74, 63, 73, 15, 1, 10, 6, 62, 59, 50, 23, 52, 60","55, 54, 51, 30, 16, 64, 24, 46, 65, 33, 71, 7, 10, 27, 4, 15, 61, 9, 45, 18, 35, 5, 23, 31, 36, 32, 49, 22, 20, 14, 52, 50, 25, 47, 62, 19, 38, 41, 37, 21, 72, 74, 59, 68, 17, 43, 29, 75, 66, 11, 42, 28, 39, 63, 69, 40, 44, 26, 1, 73, 3, 70, 34, 8, 67, 13, 58, 56, 12, 57, 6, 2, 48, 60, 53","4","13807780"
"49, 55, 35, 36, 16, 53, 64, 75, 2, 10, 51, 46, 26, 57, 6, 61, 30, 41, 40, 39, 66, 68, 50, 70, 17, 74, 29, 27, 42, 18, 20, 25, 14, 1, 9, 15, 5, 69, 11, 63, 38, 45, 31, 22, 52, 34, 72, 44, 60, 62, 71, 23, 67, 21, 19, 73, 65, 54, 56, 8, 4, 48, 32, 3, 12, 47, 13, 24, 59, 33, 58, 7, 43, 37, 28","31, 74, 64, 46, 15, 20, 5, 13, 16, 36, 24, 25, 52, 69, 42, 49, 43, 65, 70, 22, 23, 21, 26, 4, 30, 38, 68, 58, 10, 17, 62, 71, 27, 53, 18, 29, 37, 8, 63, 57, 45, 75, 19, 28, 14, 33, 11, 1, 72, 56, 40, 51, 47, 41, 61, 3, 55, 39, 48, 6, 2, 44, 9, 50, 34, 54, 35, 59, 12, 32, 67, 73, 7, 60, 66","4","13807780"
"56, 11, 23, 4, 48, 21, 73, 24, 66, 12, 5, 32, 54, 52, 75, 64, 9, 38, 13, 51, 1, 67, 29, 50, 69, 18, 35, 30, 3, 10, 57, 46, 53, 26, 41, 15, 42, 60, 61, 8, 25, 19, 40, 27, 7, 20, 59, 37, 70, 72, 16, 43, 36, 65, 49, 6, 58, 39, 34, 44, 2, 45, 33, 62, 74, 22, 17, 31, 47, 63, 55, 68, 71, 28, 14","65, 48, 61, 56, 19, 66, 30, 63, 57, 37, 74, 41, 36, 45, 16, 5, 64, 33, 47, 12, 42, 54, 39, 24, 43, 44, 75, 18, 22, 35, 13, 72, 67, 40, 55, 50, 6, 38, 2, 4, 27, 3, 17, 71, 32, 52, 70, 9, 29, 68, 28, 46, 69, 8, 15, 23, 53, 34, 73, 20, 14, 25, 1, 58, 31, 21, 26, 59, 62, 11, 51, 10, 49, 7, 60","4","13807780"
"61, 13, 73, 46, 71, 75, 30, 63, 70, 31, 9, 60, 41, 18, 48, 37, 56, 47, 49, 27, 42, 14, 72, 29, 16, 28, 19, 32, 3, 54, 45, 58, 1, 69, 55, 10, 21, 53, 66, 57, 7, 52, 34, 8, 68, 15, 36, 4, 67, 40, 12, 2, 33, 59, 35, 5, 20, 6, 74, 11, 25, 64, 39, 44, 65, 51, 24, 43, 38, 22, 50, 23, 62, 17, 26","30, 18, 37, 21, 22, 48, 56, 52, 62, 47, 15, 2, 61, 74, 45, 66, 55, 4, 17, 71, 50, 49, 43, 44, 42, 23, 11, 8, 59, 25, 64, 26, 36, 39, 40, 20, 46, 9, 35, 3, 32, 58, 10, 60, 1, 75, 51, 73, 57, 53, 70, 28, 68, 38, 16, 63, 31, 14, 24, 54, 19, 41, 69, 72, 27, 7, 12, 5, 65, 29, 6, 34, 67, 13, 33","5","13807780"
"40, 18, 32, 9, 72, 49, 1, 46, 74, 75, 60, 7, 2, 25, 54, 63, 42, 71, 59, 47, 13, 38, 39, 4, 51, 28, 41, 11, 57, 3, 30, 33, 21, 36, 31, 52, 34, 55, 69, 27, 64, 61, 45, 56, 62, 53, 58, 16, 23, 22, 24, 43, 26, 37, 12, 48, 68, 5, 14, 6, 70, 19, 35, 73, 29, 8, 20, 17, 10, 50, 67, 15, 66, 65, 44","34, 64, 47, 45, 70, 39, 9, 48, 32, 65, 62, 25, 57, 10, 72, 36, 27, 15, 75, 44, 37, 26, 43, 54, 63, 7, 13, 51, 49, 66, 38, 31, 23, 2, 55, 69, 28, 18, 71, 14, 20, 46, 6, 3, 61, 35, 17, 33, 59, 24, 60, 67, 50, 5, 52, 30, 29, 4, 8, 58, 19, 21, 22, 1, 53, 11, 40, 16, 42, 73, 56, 68, 41, 74, 12","1","13807780"
"9, 23, 47, 6, 45, 59, 65, 8, 54, 22, 44, 38, 69, 67, 35, 37, 29, 64, 46, 21, 28, 53, 72, 20, 61, 25, 55, 51, 71, 39, 14, 42, 68, 60, 74, 34, 1, 70, 24, 43, 7, 75, 36, 26, 31, 5, 73, 48, 15, 4, 30, 52, 62, 63, 27, 17, 50, 58, 57, 18, 13, 40, 33, 41, 3, 19, 66, 11, 2, 32, 12, 16, 49, 10, 56","59, 36, 54, 16, 65, 61, 40, 73, 67, 25, 2, 68, 50, 14, 63, 30, 51, 57, 7, 66, 38, 23, 27, 26, 46, 70, 39, 75, 52, 69, 43, 49, 64, 28, 41, 4, 48, 10, 18, 31, 21, 60, 42, 13, 53, 56, 71, 20, 58, 6, 55, 1, 45, 15, 19, 62, 22, 11, 12, 3, 47, 34, 72, 17, 44, 35, 33, 32, 5, 9, 8, 37, 29, 24, 74","3","13807780"
"40, 7, 54, 31, 51, 47, 75, 25, 41, 26, 23, 8, 19, 52, 3, 6, 15, 67, 22, 29, 62, 58, 49, 32, 5, 12, 33, 28, 46, 55, 4, 72, 68, 43, 70, 9, 56, 64, 74, 16, 39, 37, 13, 71, 42, 18, 27, 45, 35, 48, 14, 24, 63, 65, 17, 69, 59, 66, 34, 73, 53, 2, 38, 60, 21, 30, 36, 57, 10, 50, 11, 20, 1, 61, 44","70, 10, 62, 40, 25, 53, 24, 9, 26, 42, 52, 72, 41, 55, 19, 71, 74, 27, 34, 57, 23, 47, 63, 35, 49, 39, 73, 8, 18, 56, 54, 4, 11, 28, 14, 29, 12, 6, 37, 31, 32, 64, 46, 2, 22, 45, 68, 60, 15, 13, 33, 5, 61, 1, 3, 50, 20, 30, 67, 48, 43, 69, 17, 44, 66, 65, 59, 36, 38, 58, 16, 75, 7, 51, 21","3","13807780"
