"sigma_o","sigma_x","Number of Components","Seed"
"11, 16, 58, 23, 3, 25, 45, 22, 54, 83, 2, 82, 66, 48, 29, 77, 52, 86, 70, 4, 31, 12, 7, 36, 85, 93, 89, 33, 41, 38, 72, 30, 62, 60, 6, 95, 80, 39, 55, 98, 59, 42, 79, 28, 87, 53, 43, 10, 13, 18, 90, 26, 91, 69, 99, 78, 35, 50, 40, 49, 56, 46, 100, 76, 88, 96, 94, 47, 64, 92, 71, 9, 21, 63, 27, 74, 73, 67, 51, 97, 20, 1, 65, 17, 19, 57, 15, 14, 37, 34, 68, 75, 24, 61, 5, 32, 81, 8, 44, 84","26, 70, 43, 15, 48, 100, 59, 58, 80, 69, 90, 39, 53, 88, 65, 78, 96, 33, 94, 99, 77, 66, 40, 63, 8, 74, 98, 89, 10, 5, 30, 71, 87, 28, 56, 18, 29, 51, 24, 4, 79, 86, 68, 76, 46, 1, 38, 41, 20, 22, 13, 44, 82, 91, 93, 84, 7, 34, 62, 75, 64, 17, 73, 54, 60, 21, 55, 61, 85, 14, 27, 3, 12, 97, 19, 95, 11, 25, 23, 42, 67, 72, 9, 52, 35, 16, 2, 31, 49, 45, 36, 81, 83, 57, 47, 92, 50, 32, 37, 6","5","16581669"
"1, 30, 62, 43, 18, 60, 85, 19, 95, 65, 91, 37, 13, 3, 27, 87, 32, 51, 49, 29, 69, 68, 67, 64, 39, 88, 42, 96, 89, 73, 10, 34, 6, 48, 77, 40, 57, 86, 22, 26, 98, 52, 41, 7, 31, 23, 84, 25, 70, 78, 56, 2, 58, 71, 44, 99, 11, 35, 15, 5, 83, 38, 61, 17, 47, 12, 9, 82, 59, 50, 81, 53, 24, 90, 36, 28, 14, 66, 63, 80, 4, 21, 93, 94, 33, 46, 79, 72, 20, 100, 8, 97, 75, 16, 76, 45, 92, 55, 74, 54","30, 18, 80, 88, 3, 99, 8, 100, 84, 47, 12, 62, 20, 35, 26, 71, 50, 92, 31, 67, 53, 69, 73, 40, 5, 10, 77, 37, 48, 60, 24, 6, 90, 98, 68, 38, 91, 65, 7, 55, 49, 89, 66, 15, 51, 45, 76, 2, 82, 75, 81, 74, 4, 36, 61, 95, 19, 72, 85, 86, 34, 28, 41, 46, 52, 27, 58, 94, 96, 42, 83, 1, 57, 33, 14, 87, 64, 78, 23, 22, 70, 32, 63, 25, 39, 17, 54, 13, 79, 59, 97, 9, 11, 56, 43, 44, 93, 29, 21, 16","4","16581669"
"29, 70, 36, 59, 2, 42, 7, 65, 1, 26, 81, 63, 44, 5, 98, 69, 12, 85, 19, 77, 57, 27, 13, 66, 99, 38, 73, 94, 4, 25, 28, 41, 58, 79, 45, 18, 34, 87, 71, 3, 91, 93, 8, 11, 88, 43, 47, 100, 49, 21, 24, 74, 67, 16, 17, 84, 83, 14, 60, 33, 86, 22, 97, 78, 6, 92, 39, 53, 35, 40, 52, 80, 96, 20, 31, 30, 75, 95, 61, 54, 32, 89, 15, 10, 51, 50, 37, 82, 68, 90, 55, 72, 23, 56, 48, 46, 76, 64, 9, 62","14, 21, 5, 41, 9, 91, 45, 90, 28, 16, 83, 53, 61, 59, 38, 100, 22, 8, 4, 70, 64, 49, 78, 67, 93, 57, 29, 19, 86, 1, 37, 15, 17, 89, 56, 44, 65, 20, 3, 79, 43, 26, 31, 32, 81, 36, 25, 2, 42, 52, 98, 33, 84, 55, 11, 75, 54, 27, 12, 6, 13, 96, 88, 48, 30, 77, 87, 73, 76, 97, 72, 99, 95, 74, 66, 23, 40, 58, 34, 50, 10, 39, 47, 68, 71, 92, 82, 62, 63, 85, 7, 35, 94, 18, 24, 51, 80, 60, 69, 46","3","16581669"
"54, 16, 96, 58, 74, 20, 31, 73, 44, 94, 75, 83, 40, 14, 59, 11, 17, 92, 47, 67, 22, 77, 63, 5, 45, 41, 85, 35, 69, 28, 84, 95, 48, 52, 70, 100, 6, 50, 87, 43, 15, 42, 32, 55, 2, 62, 30, 66, 56, 21, 10, 61, 89, 51, 7, 12, 46, 25, 26, 34, 93, 36, 72, 4, 33, 98, 86, 65, 91, 76, 39, 82, 97, 1, 37, 38, 71, 60, 23, 13, 99, 64, 53, 78, 19, 79, 49, 29, 81, 88, 24, 3, 57, 27, 9, 90, 8, 68, 80, 18","31, 90, 84, 29, 54, 85, 23, 63, 42, 98, 41, 79, 70, 10, 13, 56, 33, 2, 25, 74, 32, 57, 77, 21, 26, 76, 96, 72, 50, 48, 61, 55, 89, 38, 16, 18, 64, 62, 28, 67, 97, 17, 71, 86, 80, 39, 5, 78, 51, 14, 92, 7, 43, 53, 8, 73, 81, 83, 93, 40, 75, 30, 44, 34, 68, 22, 19, 1, 12, 95, 94, 99, 11, 47, 36, 20, 82, 3, 66, 27, 88, 60, 69, 87, 9, 52, 65, 15, 45, 100, 49, 6, 46, 35, 91, 37, 59, 4, 24, 58","5","16581669"
"91, 39, 28, 57, 79, 77, 68, 71, 29, 56, 90, 93, 65, 23, 44, 74, 78, 17, 16, 2, 52, 13, 85, 42, 88, 38, 43, 87, 4, 76, 73, 83, 32, 61, 75, 7, 22, 24, 98, 20, 58, 27, 26, 53, 60, 1, 8, 5, 47, 66, 81, 19, 12, 21, 15, 55, 9, 36, 84, 82, 67, 33, 100, 37, 3, 96, 34, 48, 94, 11, 46, 35, 40, 63, 89, 72, 14, 10, 31, 59, 49, 69, 64, 97, 51, 18, 99, 95, 30, 45, 92, 86, 70, 54, 50, 6, 25, 62, 80, 41","86, 69, 88, 15, 20, 21, 84, 74, 79, 48, 42, 40, 91, 5, 65, 61, 3, 99, 10, 23, 53, 32, 82, 7, 13, 19, 75, 77, 95, 47, 94, 100, 27, 55, 56, 54, 1, 34, 30, 31, 9, 93, 58, 25, 70, 97, 41, 4, 33, 80, 90, 57, 71, 6, 37, 83, 76, 16, 12, 63, 68, 2, 89, 38, 36, 26, 62, 8, 96, 22, 17, 44, 49, 28, 67, 92, 81, 78, 72, 45, 64, 24, 66, 87, 59, 50, 18, 11, 98, 14, 51, 43, 35, 85, 73, 29, 46, 39, 60, 52","6","16581669"
"7, 75, 98, 15, 26, 19, 40, 8, 43, 38, 88, 46, 95, 28, 53, 97, 9, 1, 54, 14, 47, 17, 11, 68, 76, 82, 35, 48, 13, 58, 62, 94, 20, 85, 16, 22, 49, 70, 24, 25, 99, 61, 33, 32, 5, 42, 34, 84, 87, 74, 66, 79, 93, 56, 6, 45, 51, 92, 27, 39, 18, 60, 69, 50, 59, 83, 44, 55, 86, 63, 10, 65, 67, 36, 29, 12, 30, 96, 100, 31, 23, 64, 41, 77, 72, 73, 37, 71, 3, 4, 91, 89, 52, 2, 90, 21, 78, 57, 80, 81","63, 62, 9, 45, 38, 56, 85, 76, 88, 81, 49, 54, 20, 96, 26, 95, 79, 68, 14, 33, 94, 58, 18, 78, 50, 27, 51, 92, 98, 77, 64, 12, 71, 70, 52, 72, 59, 46, 29, 75, 97, 65, 25, 3, 13, 39, 24, 86, 5, 15, 31, 11, 42, 100, 19, 34, 1, 30, 89, 23, 37, 40, 43, 28, 82, 69, 47, 80, 32, 41, 8, 17, 60, 87, 10, 67, 16, 99, 61, 55, 2, 36, 6, 83, 93, 90, 21, 44, 22, 91, 57, 84, 74, 35, 48, 73, 66, 4, 53, 7","3","16581669"
"16, 41, 39, 82, 18, 78, 89, 7, 40, 32, 22, 30, 75, 27, 87, 46, 1, 91, 20, 96, 6, 49, 83, 79, 36, 77, 43, 88, 63, 9, 53, 21, 8, 74, 86, 58, 92, 62, 17, 28, 99, 65, 60, 19, 31, 14, 85, 93, 33, 94, 29, 84, 80, 52, 48, 61, 15, 50, 3, 47, 5, 2, 76, 54, 11, 45, 97, 64, 26, 95, 25, 68, 23, 81, 10, 35, 51, 34, 13, 73, 72, 66, 70, 24, 42, 44, 56, 12, 90, 59, 55, 100, 71, 4, 67, 98, 57, 37, 38, 69","85, 22, 37, 47, 11, 3, 23, 82, 69, 75, 84, 77, 87, 80, 30, 13, 31, 25, 71, 6, 97, 70, 24, 89, 54, 27, 65, 4, 48, 10, 64, 28, 90, 53, 68, 43, 39, 98, 88, 46, 5, 19, 35, 33, 67, 21, 57, 76, 93, 74, 83, 42, 81, 29, 2, 18, 79, 1, 56, 12, 91, 40, 73, 52, 7, 99, 55, 41, 58, 78, 45, 66, 49, 86, 34, 38, 59, 36, 17, 44, 61, 8, 26, 100, 51, 95, 63, 62, 96, 32, 14, 92, 60, 72, 50, 9, 94, 15, 16, 20","3","16581669"
"23, 1, 18, 92, 89, 69, 38, 15, 81, 22, 79, 99, 70, 24, 77, 84, 16, 53, 86, 76, 14, 85, 42, 44, 6, 5, 96, 80, 39, 93, 30, 36, 49, 3, 20, 54, 19, 12, 51, 27, 63, 7, 83, 66, 62, 87, 33, 100, 47, 41, 64, 35, 58, 60, 9, 71, 17, 2, 82, 78, 90, 46, 52, 21, 95, 74, 29, 25, 50, 32, 91, 13, 55, 73, 57, 4, 31, 10, 8, 65, 11, 75, 94, 26, 67, 88, 68, 61, 28, 37, 34, 56, 48, 98, 40, 97, 72, 59, 45, 43","77, 7, 48, 81, 36, 70, 30, 50, 89, 66, 83, 33, 41, 91, 4, 2, 19, 20, 71, 99, 52, 28, 98, 32, 88, 45, 86, 57, 72, 73, 100, 42, 15, 39, 47, 97, 60, 62, 6, 74, 17, 9, 54, 38, 16, 92, 29, 69, 53, 55, 85, 1, 3, 35, 76, 49, 61, 63, 87, 26, 14, 58, 51, 59, 96, 22, 40, 78, 68, 82, 18, 56, 10, 46, 11, 94, 95, 24, 34, 44, 64, 93, 27, 31, 79, 8, 43, 5, 67, 90, 75, 12, 21, 37, 80, 84, 25, 13, 65, 23","2","16581669"
"8, 44, 50, 2, 74, 67, 83, 22, 26, 35, 86, 70, 4, 21, 24, 76, 40, 92, 1, 6, 99, 81, 3, 23, 42, 13, 71, 25, 98, 68, 64, 100, 56, 69, 31, 61, 75, 95, 20, 66, 12, 93, 11, 90, 51, 30, 55, 10, 63, 65, 58, 54, 89, 72, 48, 87, 88, 97, 78, 36, 77, 94, 29, 91, 46, 15, 52, 59, 18, 60, 17, 27, 73, 14, 79, 96, 80, 53, 82, 28, 33, 34, 49, 5, 19, 45, 84, 37, 9, 39, 85, 43, 47, 16, 41, 57, 62, 7, 32, 38","42, 96, 100, 46, 21, 55, 52, 38, 7, 47, 72, 89, 74, 80, 76, 54, 27, 53, 70, 75, 31, 2, 20, 40, 1, 65, 58, 91, 17, 59, 33, 37, 34, 84, 9, 67, 45, 77, 61, 11, 87, 92, 25, 56, 10, 19, 82, 79, 49, 48, 30, 78, 32, 4, 86, 18, 73, 41, 23, 3, 12, 95, 83, 99, 93, 90, 66, 29, 13, 94, 14, 8, 71, 26, 39, 81, 24, 69, 98, 22, 43, 44, 6, 97, 28, 50, 64, 60, 35, 51, 68, 85, 88, 63, 36, 62, 57, 16, 5, 15","4","16581669"
"88, 8, 44, 55, 80, 75, 35, 73, 53, 22, 94, 31, 65, 27, 95, 89, 61, 83, 1, 33, 9, 99, 71, 84, 92, 47, 69, 82, 18, 39, 85, 58, 87, 2, 52, 29, 74, 66, 19, 7, 38, 96, 30, 91, 81, 15, 60, 63, 13, 77, 43, 5, 56, 45, 3, 34, 72, 11, 24, 21, 4, 23, 59, 51, 68, 93, 41, 97, 20, 40, 62, 16, 37, 86, 76, 48, 100, 26, 14, 67, 78, 54, 42, 57, 49, 10, 70, 90, 79, 6, 17, 25, 12, 46, 32, 36, 28, 50, 98, 64","2, 36, 56, 14, 55, 42, 31, 54, 62, 82, 39, 23, 51, 28, 61, 52, 38, 96, 63, 18, 94, 76, 8, 44, 9, 78, 48, 72, 70, 84, 47, 83, 97, 68, 92, 20, 40, 73, 87, 100, 85, 65, 5, 29, 33, 34, 10, 37, 26, 12, 7, 17, 45, 93, 19, 57, 30, 3, 89, 95, 80, 24, 43, 35, 59, 25, 49, 98, 53, 60, 4, 74, 58, 27, 75, 90, 11, 1, 50, 32, 13, 79, 46, 64, 22, 77, 67, 86, 81, 15, 69, 21, 91, 41, 71, 6, 88, 66, 16, 99","2","16581669"
