"sigma_o","sigma_x","Number of Components","Seed"
"47, 1, 9, 50, 54, 62, 36, 21, 53, 68, 71, 32, 11, 59, 66, 5, 2, 72, 4, 10, 29, 24, 18, 27, 16, 43, 20, 17, 31, 44, 37, 45, 38, 3, 35, 48, 6, 58, 55, 12, 74, 15, 19, 42, 13, 69, 8, 60, 64, 30, 7, 57, 52, 26, 56, 75, 49, 34, 23, 46, 33, 51, 25, 73, 63, 65, 39, 67, 28, 61, 70, 14, 41, 22, 40","32, 52, 59, 43, 61, 2, 7, 66, 35, 27, 23, 49, 28, 19, 63, 18, 24, 14, 39, 75, 31, 37, 17, 72, 38, 12, 70, 60, 67, 50, 40, 57, 53, 71, 55, 4, 68, 9, 8, 25, 29, 1, 48, 54, 44, 34, 51, 65, 45, 46, 73, 13, 30, 20, 10, 11, 15, 5, 58, 56, 41, 26, 21, 69, 33, 47, 22, 6, 64, 36, 42, 74, 62, 16, 3","2","7325547"
"47, 13, 74, 32, 12, 2, 43, 11, 44, 45, 42, 28, 10, 63, 58, 72, 9, 51, 39, 23, 68, 48, 65, 66, 14, 18, 52, 27, 73, 55, 5, 49, 25, 59, 16, 62, 7, 3, 30, 31, 6, 46, 38, 67, 54, 29, 61, 57, 35, 71, 53, 22, 26, 24, 33, 69, 56, 37, 41, 4, 40, 64, 8, 75, 15, 60, 36, 21, 19, 50, 17, 1, 70, 34, 20","3, 23, 48, 61, 1, 25, 20, 17, 72, 74, 11, 16, 68, 56, 36, 47, 18, 67, 14, 7, 73, 15, 19, 6, 60, 10, 49, 29, 27, 12, 37, 34, 40, 35, 69, 57, 2, 8, 59, 54, 43, 55, 32, 52, 45, 71, 66, 33, 24, 28, 21, 26, 58, 4, 64, 31, 53, 22, 70, 65, 41, 62, 5, 46, 51, 39, 42, 30, 50, 63, 38, 75, 44, 13, 9","5","7325547"
"39, 26, 52, 14, 53, 65, 2, 5, 61, 73, 75, 22, 11, 43, 49, 62, 18, 37, 32, 51, 58, 47, 21, 70, 33, 13, 15, 24, 29, 68, 12, 31, 19, 25, 28, 56, 3, 71, 46, 59, 20, 9, 38, 1, 74, 67, 44, 63, 34, 10, 54, 16, 36, 45, 72, 41, 27, 57, 60, 8, 66, 6, 69, 48, 55, 35, 30, 23, 40, 17, 50, 7, 4, 42, 64","3, 24, 21, 47, 60, 36, 64, 20, 33, 43, 73, 12, 70, 44, 55, 41, 31, 23, 30, 32, 28, 29, 53, 13, 11, 69, 26, 45, 49, 5, 16, 62, 1, 65, 66, 35, 27, 34, 75, 37, 15, 52, 40, 2, 57, 54, 50, 18, 19, 39, 7, 74, 61, 17, 51, 8, 38, 58, 42, 46, 4, 56, 67, 59, 68, 10, 48, 25, 9, 72, 71, 63, 22, 14, 6","2","7325547"
"29, 57, 17, 36, 34, 3, 53, 5, 27, 1, 73, 26, 2, 71, 20, 64, 31, 70, 65, 60, 25, 37, 46, 21, 54, 9, 10, 68, 67, 62, 44, 33, 32, 43, 13, 45, 42, 50, 28, 6, 30, 61, 7, 48, 41, 72, 15, 63, 47, 4, 66, 69, 8, 16, 49, 38, 74, 59, 19, 12, 56, 18, 75, 24, 23, 51, 52, 22, 39, 35, 58, 14, 55, 40, 11","75, 8, 68, 45, 1, 40, 70, 63, 58, 46, 17, 66, 11, 14, 2, 52, 55, 59, 60, 34, 19, 36, 7, 43, 5, 72, 31, 42, 69, 54, 21, 57, 27, 10, 32, 26, 16, 29, 61, 53, 4, 65, 64, 44, 33, 30, 39, 18, 73, 35, 15, 6, 48, 67, 24, 71, 13, 9, 23, 74, 47, 50, 20, 12, 28, 62, 37, 3, 41, 49, 38, 25, 56, 22, 51","3","7325547"
"17, 62, 6, 60, 35, 1, 53, 5, 4, 55, 46, 71, 19, 45, 9, 36, 43, 3, 61, 65, 37, 18, 63, 40, 16, 14, 74, 66, 2, 56, 58, 47, 64, 24, 51, 67, 72, 70, 57, 69, 59, 41, 31, 12, 73, 54, 38, 28, 8, 10, 21, 22, 52, 11, 15, 23, 27, 26, 75, 39, 42, 29, 49, 20, 44, 7, 30, 25, 34, 50, 68, 48, 13, 32, 33","66, 58, 55, 15, 73, 4, 47, 6, 59, 17, 75, 34, 40, 24, 48, 63, 29, 67, 14, 18, 62, 8, 31, 3, 53, 61, 11, 46, 69, 37, 70, 65, 38, 51, 10, 68, 49, 23, 16, 19, 35, 5, 52, 22, 28, 26, 64, 44, 60, 30, 43, 7, 21, 57, 56, 9, 45, 74, 42, 27, 72, 33, 13, 71, 12, 32, 25, 36, 39, 2, 50, 1, 20, 41, 54","4","7325547"
"31, 22, 43, 53, 1, 11, 66, 54, 16, 13, 61, 65, 20, 57, 52, 71, 18, 40, 38, 58, 59, 75, 74, 3, 7, 73, 44, 70, 33, 51, 34, 68, 60, 42, 19, 56, 63, 64, 12, 62, 46, 41, 17, 25, 67, 5, 50, 10, 37, 21, 4, 55, 49, 30, 2, 23, 45, 14, 9, 27, 8, 28, 47, 39, 35, 48, 36, 6, 32, 15, 26, 69, 29, 72, 24","74, 28, 38, 47, 7, 6, 42, 72, 29, 36, 67, 56, 34, 26, 17, 66, 14, 46, 55, 63, 10, 31, 15, 11, 30, 62, 23, 45, 44, 53, 50, 35, 43, 27, 21, 39, 4, 22, 68, 1, 51, 18, 20, 16, 3, 69, 59, 33, 64, 65, 57, 2, 52, 19, 37, 41, 5, 49, 73, 58, 13, 8, 70, 71, 32, 40, 61, 9, 48, 60, 25, 12, 24, 75, 54","3","7325547"
"57, 34, 56, 2, 43, 21, 63, 67, 71, 7, 16, 48, 50, 11, 41, 72, 6, 1, 53, 51, 28, 18, 36, 10, 20, 54, 55, 59, 23, 38, 66, 37, 13, 30, 65, 60, 12, 68, 74, 9, 29, 58, 35, 75, 19, 25, 33, 73, 61, 17, 22, 8, 46, 52, 4, 27, 3, 14, 5, 47, 49, 15, 24, 69, 40, 64, 26, 70, 42, 45, 62, 39, 31, 44, 32","38, 65, 7, 36, 20, 8, 23, 24, 2, 54, 62, 55, 32, 13, 73, 42, 56, 44, 47, 1, 35, 57, 28, 33, 64, 61, 25, 53, 58, 45, 51, 26, 68, 14, 5, 59, 63, 66, 22, 75, 30, 6, 39, 43, 31, 21, 50, 34, 12, 52, 27, 4, 71, 40, 3, 17, 10, 41, 74, 48, 11, 37, 69, 72, 16, 18, 49, 29, 67, 15, 60, 46, 9, 19, 70","5","7325547"
"50, 58, 34, 52, 27, 55, 7, 8, 17, 48, 66, 53, 49, 39, 40, 19, 46, 32, 41, 1, 59, 61, 45, 68, 23, 60, 31, 6, 38, 57, 33, 63, 44, 70, 10, 65, 18, 47, 22, 73, 67, 72, 9, 5, 2, 64, 15, 24, 4, 29, 30, 20, 16, 11, 74, 35, 13, 62, 56, 37, 51, 71, 14, 43, 75, 54, 42, 28, 21, 25, 69, 36, 3, 12, 26","67, 25, 3, 41, 55, 75, 51, 24, 42, 36, 32, 45, 64, 22, 47, 11, 72, 65, 66, 73, 33, 71, 2, 59, 18, 23, 16, 70, 4, 49, 7, 54, 5, 12, 56, 29, 58, 27, 43, 40, 34, 53, 13, 68, 10, 31, 21, 74, 26, 14, 9, 44, 19, 48, 28, 8, 30, 17, 20, 62, 46, 15, 6, 1, 57, 38, 52, 69, 37, 60, 61, 63, 35, 39, 50","4","7325547"
"7, 72, 55, 41, 46, 37, 33, 54, 49, 75, 16, 14, 48, 40, 8, 13, 32, 50, 11, 6, 34, 22, 19, 53, 21, 12, 57, 60, 23, 18, 59, 52, 70, 10, 67, 27, 1, 58, 65, 25, 66, 69, 62, 74, 31, 28, 24, 29, 26, 42, 36, 35, 2, 71, 51, 9, 44, 63, 4, 5, 15, 56, 47, 38, 30, 3, 45, 39, 43, 20, 68, 17, 61, 73, 64","31, 18, 53, 69, 24, 21, 43, 37, 71, 66, 9, 44, 70, 67, 48, 10, 6, 5, 27, 45, 8, 26, 49, 15, 46, 7, 47, 39, 40, 1, 51, 17, 54, 64, 32, 75, 35, 2, 11, 58, 34, 14, 63, 16, 72, 25, 12, 52, 19, 38, 23, 36, 30, 4, 55, 62, 61, 22, 57, 56, 73, 74, 3, 59, 68, 50, 28, 60, 20, 42, 33, 13, 65, 41, 29","4","7325547"
"44, 31, 34, 18, 64, 7, 38, 66, 68, 42, 25, 63, 9, 61, 11, 71, 58, 36, 74, 24, 67, 12, 4, 32, 49, 48, 37, 52, 47, 59, 56, 51, 70, 72, 55, 16, 21, 62, 45, 1, 8, 19, 50, 20, 40, 35, 57, 75, 22, 5, 10, 53, 29, 13, 73, 43, 2, 28, 6, 54, 65, 17, 39, 41, 26, 14, 33, 27, 15, 30, 60, 3, 23, 46, 69","48, 33, 74, 35, 1, 57, 14, 31, 16, 67, 68, 41, 7, 73, 37, 40, 50, 15, 52, 23, 3, 39, 19, 66, 8, 65, 6, 49, 72, 34, 11, 43, 64, 36, 12, 24, 9, 53, 13, 69, 70, 4, 5, 30, 58, 45, 51, 21, 60, 38, 63, 47, 54, 10, 46, 22, 28, 18, 2, 17, 62, 61, 32, 71, 44, 20, 29, 56, 42, 55, 59, 26, 75, 25, 27","3","7325547"
