"sigma_o","sigma_x","Number of Components","Seed"
"61, 60, 14, 36, 84, 4, 47, 40, 78, 55, 25, 20, 62, 22, 19, 65, 95, 68, 63, 72, 18, 77, 98, 21, 59, 3, 90, 66, 48, 56, 82, 6, 70, 67, 15, 31, 54, 93, 16, 45, 57, 23, 87, 51, 79, 80, 50, 10, 13, 33, 44, 100, 27, 58, 42, 39, 92, 35, 86, 30, 74, 41, 34, 43, 97, 28, 73, 38, 88, 96, 53, 81, 83, 11, 37, 89, 75, 12, 5, 71, 69, 52, 7, 64, 9, 85, 32, 24, 94, 46, 1, 2, 26, 91, 76, 8, 17, 29, 99, 49","96, 17, 86, 19, 87, 26, 9, 54, 66, 64, 57, 12, 90, 44, 94, 42, 31, 34, 38, 8, 3, 62, 93, 6, 76, 25, 47, 18, 37, 5, 1, 35, 14, 65, 2, 63, 11, 83, 72, 43, 60, 7, 79, 97, 23, 70, 27, 67, 30, 39, 88, 46, 82, 13, 89, 51, 80, 100, 81, 59, 10, 16, 78, 29, 22, 95, 75, 53, 92, 48, 4, 61, 56, 98, 40, 24, 50, 58, 21, 85, 84, 71, 69, 91, 73, 33, 55, 99, 15, 77, 36, 49, 28, 41, 20, 45, 32, 74, 68, 52","5","4873077"
"14, 47, 84, 61, 74, 65, 99, 90, 78, 16, 81, 87, 67, 41, 92, 30, 58, 42, 46, 77, 15, 88, 20, 95, 13, 53, 45, 4, 86, 94, 89, 18, 31, 68, 55, 64, 56, 49, 1, 100, 71, 72, 82, 85, 21, 9, 73, 98, 48, 26, 36, 24, 34, 2, 32, 29, 76, 80, 69, 12, 10, 83, 52, 63, 37, 22, 23, 43, 59, 19, 57, 3, 62, 79, 40, 75, 39, 60, 97, 96, 25, 44, 17, 7, 6, 33, 11, 54, 5, 35, 70, 66, 93, 50, 91, 28, 51, 27, 38, 8","57, 67, 15, 34, 29, 27, 65, 94, 16, 99, 91, 43, 92, 96, 26, 95, 23, 21, 68, 61, 31, 85, 49, 42, 9, 84, 73, 19, 70, 30, 80, 13, 37, 79, 51, 17, 74, 32, 56, 8, 52, 36, 78, 48, 87, 71, 47, 46, 81, 58, 5, 22, 89, 64, 39, 97, 25, 86, 44, 35, 20, 93, 83, 45, 4, 1, 18, 38, 10, 41, 69, 53, 40, 76, 54, 6, 11, 12, 100, 55, 77, 98, 24, 33, 28, 7, 2, 60, 62, 63, 88, 14, 50, 66, 90, 72, 59, 82, 75, 3","4","4873077"
"4, 19, 90, 5, 48, 26, 30, 7, 64, 69, 3, 86, 23, 46, 85, 43, 61, 98, 99, 39, 49, 87, 25, 20, 88, 24, 10, 42, 14, 76, 96, 37, 52, 32, 77, 94, 67, 54, 89, 100, 72, 36, 34, 95, 97, 80, 79, 75, 44, 81, 21, 91, 58, 63, 70, 45, 28, 57, 29, 11, 38, 84, 47, 40, 53, 50, 33, 9, 6, 2, 17, 22, 74, 18, 15, 31, 13, 62, 35, 78, 56, 93, 65, 66, 68, 60, 92, 27, 1, 41, 8, 71, 55, 16, 59, 82, 12, 51, 73, 83","14, 68, 51, 32, 16, 75, 35, 95, 45, 17, 84, 54, 27, 4, 76, 23, 12, 28, 3, 19, 46, 34, 20, 24, 86, 80, 98, 40, 87, 83, 65, 61, 62, 57, 5, 36, 88, 39, 72, 67, 74, 69, 73, 48, 58, 71, 10, 26, 11, 96, 92, 8, 30, 81, 22, 63, 79, 41, 93, 38, 89, 29, 85, 91, 43, 77, 6, 64, 59, 44, 52, 2, 9, 15, 18, 97, 82, 50, 100, 37, 90, 47, 42, 13, 99, 25, 55, 31, 33, 49, 53, 56, 66, 21, 1, 70, 7, 78, 94, 60","6","4873077"
"46, 35, 45, 62, 41, 24, 29, 21, 42, 15, 94, 17, 2, 88, 13, 40, 36, 55, 31, 71, 85, 50, 61, 68, 89, 73, 47, 25, 58, 57, 75, 70, 33, 51, 67, 91, 23, 82, 6, 18, 7, 96, 4, 64, 12, 28, 44, 90, 37, 83, 1, 52, 16, 99, 66, 97, 26, 76, 10, 34, 20, 65, 3, 92, 19, 30, 86, 95, 78, 63, 74, 59, 38, 98, 79, 54, 80, 8, 43, 100, 27, 32, 48, 53, 81, 14, 77, 72, 84, 49, 69, 93, 87, 60, 5, 22, 11, 56, 39, 9","48, 71, 98, 100, 38, 46, 49, 53, 83, 76, 14, 62, 61, 26, 37, 84, 41, 47, 19, 10, 70, 28, 68, 39, 97, 95, 81, 92, 8, 55, 89, 73, 57, 54, 40, 3, 91, 9, 85, 24, 63, 52, 29, 58, 33, 64, 25, 72, 59, 79, 45, 60, 99, 1, 2, 67, 96, 90, 44, 32, 34, 13, 75, 6, 87, 43, 66, 50, 20, 31, 94, 35, 15, 56, 4, 27, 12, 78, 93, 69, 30, 51, 88, 82, 77, 42, 17, 23, 86, 5, 18, 21, 36, 16, 7, 11, 22, 74, 80, 65","3","4873077"
"7, 75, 26, 67, 78, 88, 99, 53, 60, 24, 45, 59, 18, 52, 69, 94, 50, 12, 2, 92, 13, 4, 97, 33, 65, 30, 86, 57, 6, 90, 28, 63, 47, 95, 15, 82, 25, 96, 71, 44, 27, 32, 81, 43, 80, 37, 54, 68, 17, 58, 89, 79, 49, 19, 23, 62, 46, 9, 61, 93, 16, 36, 74, 70, 35, 39, 83, 8, 38, 56, 11, 55, 84, 31, 66, 76, 20, 34, 98, 64, 22, 21, 5, 100, 77, 85, 73, 72, 29, 48, 10, 42, 41, 87, 51, 91, 40, 1, 14, 3","62, 69, 17, 64, 41, 14, 2, 22, 92, 48, 76, 21, 89, 81, 83, 82, 54, 3, 30, 57, 73, 27, 87, 45, 61, 32, 6, 8, 58, 12, 60, 19, 99, 23, 43, 36, 88, 95, 75, 56, 49, 16, 46, 18, 5, 86, 1, 78, 71, 70, 77, 40, 91, 74, 80, 85, 7, 51, 37, 29, 38, 20, 35, 47, 94, 34, 96, 15, 67, 100, 66, 24, 25, 26, 72, 53, 42, 93, 39, 33, 31, 10, 98, 44, 28, 4, 63, 65, 59, 55, 68, 79, 90, 9, 13, 97, 11, 52, 50, 84","4","4873077"
"27, 28, 62, 83, 54, 82, 71, 59, 1, 55, 26, 84, 49, 61, 20, 85, 2, 81, 25, 98, 76, 100, 6, 36, 37, 47, 18, 4, 24, 45, 22, 8, 53, 11, 32, 15, 3, 34, 9, 10, 94, 69, 88, 21, 38, 50, 29, 14, 52, 90, 95, 65, 30, 51, 73, 60, 70, 89, 80, 16, 78, 12, 96, 68, 56, 31, 35, 92, 43, 91, 74, 67, 40, 23, 86, 33, 44, 46, 93, 99, 75, 57, 19, 41, 39, 48, 77, 63, 5, 97, 87, 66, 72, 17, 42, 64, 13, 7, 79, 58","24, 80, 44, 17, 49, 87, 96, 95, 69, 65, 70, 56, 30, 18, 48, 5, 55, 98, 19, 14, 15, 45, 50, 31, 100, 54, 94, 25, 16, 85, 6, 63, 7, 57, 1, 74, 64, 38, 84, 12, 89, 71, 29, 58, 83, 67, 9, 81, 77, 20, 10, 39, 22, 72, 66, 32, 60, 28, 8, 68, 37, 75, 99, 76, 59, 52, 51, 11, 42, 27, 93, 40, 79, 4, 61, 82, 92, 91, 62, 46, 36, 97, 35, 33, 88, 43, 26, 86, 23, 73, 13, 2, 34, 78, 3, 41, 53, 47, 90, 21","6","4873077"
"1, 3, 20, 56, 69, 99, 66, 10, 25, 77, 35, 41, 61, 33, 96, 4, 6, 24, 67, 36, 2, 73, 53, 71, 32, 93, 97, 90, 84, 98, 92, 46, 68, 75, 51, 94, 85, 87, 45, 21, 38, 34, 16, 59, 30, 86, 31, 17, 5, 70, 15, 57, 26, 14, 12, 60, 11, 79, 7, 23, 89, 72, 95, 76, 74, 44, 29, 39, 88, 82, 83, 18, 27, 19, 8, 64, 22, 100, 80, 50, 43, 62, 65, 13, 58, 52, 54, 78, 81, 28, 42, 49, 9, 63, 55, 47, 40, 37, 91, 48","95, 52, 27, 3, 26, 31, 61, 80, 21, 4, 18, 36, 25, 1, 45, 76, 11, 92, 37, 68, 88, 34, 70, 33, 40, 60, 16, 48, 6, 38, 69, 10, 5, 57, 62, 8, 67, 53, 55, 51, 9, 54, 96, 86, 64, 46, 97, 42, 28, 7, 100, 22, 66, 91, 2, 19, 41, 58, 77, 73, 84, 17, 49, 24, 78, 75, 83, 72, 56, 15, 14, 29, 20, 35, 43, 85, 12, 90, 81, 89, 50, 74, 23, 94, 32, 44, 93, 87, 79, 82, 63, 30, 99, 13, 65, 39, 47, 71, 98, 59","6","4873077"
"58, 96, 30, 73, 90, 11, 26, 19, 34, 48, 2, 10, 56, 35, 74, 91, 65, 88, 80, 98, 93, 72, 89, 15, 1, 60, 67, 97, 85, 5, 9, 79, 3, 23, 8, 61, 84, 69, 17, 13, 16, 82, 41, 75, 32, 57, 53, 51, 59, 28, 33, 37, 40, 52, 62, 39, 18, 70, 68, 6, 45, 66, 46, 63, 20, 7, 87, 54, 94, 83, 95, 78, 76, 92, 24, 27, 81, 64, 42, 44, 50, 4, 22, 99, 12, 77, 49, 100, 86, 21, 47, 38, 29, 25, 71, 14, 36, 31, 55, 43","66, 7, 81, 41, 75, 83, 44, 65, 86, 84, 70, 22, 21, 97, 36, 93, 96, 26, 100, 2, 23, 59, 51, 50, 52, 88, 17, 37, 87, 35, 68, 48, 54, 73, 12, 39, 78, 80, 42, 74, 94, 11, 79, 40, 85, 99, 5, 25, 6, 46, 63, 18, 19, 53, 90, 28, 32, 10, 33, 45, 71, 72, 49, 34, 67, 62, 3, 64, 29, 47, 61, 27, 38, 13, 89, 91, 98, 69, 4, 16, 20, 24, 95, 55, 14, 43, 60, 92, 77, 15, 30, 56, 82, 76, 57, 1, 8, 9, 31, 58","6","4873077"
"20, 100, 2, 73, 57, 41, 49, 54, 64, 82, 55, 44, 90, 28, 83, 69, 3, 23, 58, 79, 1, 72, 75, 47, 35, 32, 81, 52, 89, 95, 93, 99, 26, 86, 78, 39, 5, 48, 71, 92, 96, 19, 63, 38, 88, 36, 30, 85, 76, 70, 97, 7, 18, 60, 91, 65, 42, 45, 11, 37, 25, 84, 51, 46, 8, 40, 61, 53, 24, 62, 43, 34, 77, 27, 22, 80, 59, 15, 17, 21, 13, 31, 9, 66, 14, 98, 50, 10, 16, 29, 74, 6, 94, 12, 33, 4, 56, 87, 68, 67","2, 68, 55, 24, 66, 9, 40, 16, 74, 39, 83, 43, 76, 63, 32, 44, 95, 18, 99, 56, 29, 62, 5, 35, 45, 93, 72, 69, 60, 8, 33, 54, 91, 57, 52, 82, 87, 41, 48, 70, 53, 31, 46, 21, 65, 80, 20, 23, 27, 34, 22, 25, 1, 13, 6, 11, 85, 38, 14, 86, 10, 30, 79, 94, 19, 89, 51, 84, 28, 61, 97, 73, 81, 17, 77, 90, 98, 100, 37, 92, 50, 15, 49, 58, 7, 59, 71, 64, 78, 88, 12, 4, 67, 75, 96, 36, 26, 42, 3, 47","8","4873077"
"27, 2, 12, 8, 10, 55, 100, 59, 93, 14, 19, 26, 45, 47, 39, 91, 62, 35, 61, 50, 6, 4, 83, 34, 9, 31, 75, 11, 33, 76, 85, 78, 48, 20, 63, 77, 54, 36, 5, 49, 79, 51, 44, 88, 95, 21, 18, 30, 99, 25, 42, 60, 68, 94, 32, 1, 23, 3, 84, 73, 81, 29, 90, 98, 71, 58, 15, 41, 72, 64, 57, 80, 7, 22, 92, 56, 17, 89, 69, 13, 28, 97, 70, 16, 37, 82, 40, 67, 87, 86, 74, 66, 53, 65, 38, 96, 46, 52, 24, 43","10, 96, 91, 100, 3, 58, 97, 2, 52, 94, 99, 79, 51, 89, 27, 4, 88, 23, 28, 32, 84, 33, 55, 37, 26, 78, 48, 5, 63, 65, 39, 92, 16, 42, 68, 24, 83, 31, 22, 34, 66, 17, 74, 50, 13, 72, 14, 64, 12, 6, 21, 62, 53, 30, 98, 11, 95, 69, 40, 57, 25, 45, 67, 18, 47, 61, 49, 93, 38, 80, 77, 35, 43, 56, 85, 90, 70, 73, 15, 1, 87, 46, 44, 29, 20, 41, 81, 19, 71, 9, 60, 7, 76, 54, 86, 8, 75, 82, 36, 59","3","4873077"
