"sigma_o","sigma_x","Number of Components","Seed"
"10, 2, 52, 7, 18, 5, 56, 32, 50, 8, 74, 67, 54, 33, 11, 13, 40, 66, 9, 26, 61, 68, 12, 69, 35, 45, 25, 51, 71, 22, 39, 75, 65, 19, 62, 53, 42, 46, 30, 4, 24, 36, 64, 3, 58, 49, 57, 6, 60, 63, 31, 44, 43, 21, 59, 72, 14, 16, 70, 1, 38, 15, 48, 73, 23, 34, 28, 17, 47, 27, 55, 20, 29, 41, 37","39, 40, 28, 59, 36, 17, 43, 69, 47, 70, 67, 29, 12, 64, 65, 72, 30, 5, 57, 51, 24, 41, 20, 53, 27, 11, 6, 48, 21, 60, 50, 3, 46, 18, 33, 74, 63, 8, 10, 56, 62, 4, 66, 61, 45, 44, 22, 23, 32, 71, 42, 73, 16, 15, 25, 1, 55, 19, 52, 34, 68, 49, 38, 31, 7, 75, 14, 13, 26, 35, 2, 37, 54, 58, 9","7","9210025"
"1, 51, 40, 62, 33, 43, 34, 55, 72, 3, 68, 58, 20, 18, 11, 36, 57, 60, 75, 38, 53, 42, 25, 17, 24, 10, 70, 73, 64, 49, 69, 39, 13, 15, 52, 14, 9, 45, 44, 46, 5, 31, 66, 59, 32, 41, 67, 19, 16, 56, 30, 48, 65, 26, 8, 50, 63, 54, 23, 28, 2, 7, 74, 27, 22, 35, 29, 6, 47, 4, 61, 21, 71, 37, 12","47, 70, 71, 45, 23, 49, 32, 25, 38, 46, 17, 37, 43, 12, 59, 61, 14, 41, 13, 29, 1, 64, 22, 69, 52, 34, 62, 16, 24, 50, 28, 65, 53, 20, 54, 5, 26, 40, 58, 73, 35, 27, 36, 44, 67, 48, 11, 75, 57, 55, 72, 42, 8, 19, 56, 10, 2, 33, 30, 68, 21, 15, 18, 63, 66, 6, 51, 74, 31, 60, 7, 3, 39, 4, 9","3","9210025"
"20, 47, 34, 63, 66, 51, 56, 10, 3, 36, 9, 67, 73, 21, 52, 8, 30, 29, 72, 71, 12, 59, 25, 68, 60, 18, 14, 15, 70, 44, 50, 6, 27, 64, 26, 4, 11, 62, 75, 5, 57, 48, 31, 19, 54, 37, 28, 13, 55, 74, 65, 53, 45, 41, 61, 1, 32, 43, 22, 38, 17, 33, 23, 24, 69, 42, 39, 7, 58, 35, 46, 49, 2, 16, 40","5, 30, 40, 9, 32, 54, 38, 58, 17, 39, 3, 21, 43, 45, 22, 41, 64, 48, 68, 4, 6, 7, 65, 70, 13, 51, 53, 67, 37, 52, 26, 24, 69, 47, 12, 75, 50, 63, 1, 71, 46, 35, 36, 44, 42, 57, 66, 27, 72, 11, 10, 18, 34, 16, 2, 14, 49, 29, 62, 23, 55, 19, 20, 8, 73, 15, 60, 74, 33, 28, 56, 25, 31, 61, 59","2","9210025"
"49, 6, 26, 9, 71, 58, 64, 69, 74, 19, 73, 32, 27, 37, 30, 60, 38, 31, 40, 17, 50, 21, 11, 14, 51, 61, 56, 8, 41, 70, 47, 12, 52, 65, 75, 4, 63, 2, 10, 18, 13, 67, 45, 15, 44, 39, 55, 35, 20, 72, 28, 42, 46, 68, 62, 25, 7, 5, 16, 57, 66, 34, 36, 23, 3, 22, 54, 48, 1, 24, 43, 59, 33, 29, 53","15, 1, 11, 39, 21, 30, 7, 64, 31, 16, 69, 5, 47, 13, 18, 10, 35, 60, 43, 20, 25, 9, 8, 42, 28, 72, 14, 48, 67, 38, 59, 41, 29, 54, 58, 17, 24, 27, 50, 4, 61, 63, 70, 37, 26, 3, 36, 32, 75, 56, 55, 23, 34, 49, 71, 62, 12, 45, 46, 44, 74, 52, 68, 40, 65, 53, 66, 33, 2, 57, 6, 51, 22, 73, 19","5","9210025"
"68, 58, 46, 18, 42, 10, 33, 11, 29, 7, 65, 8, 54, 57, 21, 5, 56, 75, 43, 35, 51, 44, 2, 69, 49, 72, 23, 9, 25, 62, 45, 39, 40, 38, 1, 6, 26, 16, 63, 30, 36, 32, 47, 17, 73, 52, 71, 14, 55, 20, 66, 28, 3, 70, 53, 74, 59, 41, 24, 60, 27, 34, 13, 64, 61, 22, 67, 19, 37, 15, 31, 12, 50, 48, 4","17, 1, 30, 51, 55, 43, 72, 45, 31, 22, 11, 36, 50, 20, 65, 44, 63, 21, 29, 41, 68, 57, 18, 33, 37, 62, 25, 23, 56, 35, 3, 8, 28, 74, 54, 4, 60, 70, 48, 64, 26, 46, 9, 38, 5, 10, 73, 24, 42, 59, 16, 13, 66, 6, 67, 49, 15, 53, 52, 71, 34, 61, 27, 19, 75, 2, 58, 39, 12, 40, 7, 69, 32, 14, 47","2","9210025"
"12, 25, 58, 15, 54, 22, 27, 65, 72, 60, 75, 40, 26, 56, 73, 29, 10, 74, 17, 38, 35, 39, 69, 14, 67, 4, 45, 34, 44, 21, 33, 48, 2, 71, 46, 51, 41, 53, 9, 57, 47, 70, 32, 13, 62, 55, 6, 3, 23, 19, 16, 1, 24, 30, 18, 43, 59, 20, 37, 11, 31, 28, 61, 5, 68, 66, 42, 49, 64, 8, 52, 7, 63, 50, 36","25, 35, 6, 58, 41, 71, 12, 44, 33, 75, 63, 9, 30, 45, 56, 53, 5, 7, 43, 14, 42, 13, 55, 52, 59, 2, 11, 49, 17, 31, 46, 8, 16, 39, 3, 72, 19, 24, 64, 62, 1, 18, 51, 22, 50, 54, 26, 15, 28, 23, 34, 20, 73, 36, 38, 60, 32, 10, 68, 21, 29, 61, 40, 67, 37, 48, 27, 47, 4, 65, 57, 74, 69, 66, 70","6","9210025"
"10, 47, 23, 8, 2, 4, 41, 39, 57, 32, 40, 46, 50, 37, 38, 27, 49, 64, 34, 43, 48, 51, 5, 16, 73, 18, 42, 33, 66, 15, 21, 7, 45, 14, 65, 74, 20, 13, 60, 28, 24, 62, 1, 55, 11, 29, 75, 6, 12, 35, 61, 68, 67, 58, 52, 9, 53, 31, 3, 44, 72, 36, 19, 71, 22, 63, 59, 17, 26, 70, 30, 69, 56, 54, 25","30, 41, 71, 61, 26, 21, 54, 44, 20, 42, 28, 32, 46, 63, 68, 75, 25, 40, 19, 67, 17, 50, 35, 37, 53, 3, 18, 57, 38, 36, 49, 56, 4, 65, 55, 62, 23, 70, 29, 33, 69, 6, 58, 31, 5, 60, 15, 74, 1, 2, 16, 51, 64, 52, 73, 14, 10, 48, 13, 59, 7, 66, 9, 39, 43, 45, 72, 24, 34, 11, 8, 22, 47, 27, 12","4","9210025"
"44, 54, 49, 1, 62, 41, 63, 21, 68, 4, 26, 24, 9, 69, 51, 37, 25, 61, 73, 19, 39, 70, 53, 5, 72, 35, 29, 64, 28, 65, 17, 18, 46, 52, 22, 75, 56, 55, 36, 48, 47, 33, 67, 6, 20, 15, 38, 66, 58, 40, 32, 23, 71, 30, 50, 34, 13, 60, 57, 27, 12, 3, 59, 2, 16, 42, 14, 45, 31, 74, 43, 11, 8, 7, 10","33, 74, 69, 30, 16, 6, 35, 1, 19, 59, 24, 64, 26, 23, 48, 46, 37, 49, 60, 21, 36, 9, 17, 62, 42, 72, 15, 54, 75, 68, 56, 14, 52, 67, 31, 3, 61, 4, 39, 11, 45, 18, 70, 38, 53, 47, 22, 73, 10, 71, 34, 8, 55, 66, 29, 50, 27, 28, 13, 12, 40, 58, 43, 41, 57, 7, 51, 25, 5, 44, 65, 2, 20, 32, 63","3","9210025"
"9, 2, 27, 68, 75, 17, 24, 74, 66, 55, 71, 62, 49, 16, 22, 15, 37, 18, 30, 43, 59, 32, 5, 7, 41, 58, 28, 53, 8, 72, 38, 67, 44, 60, 10, 36, 14, 63, 3, 11, 64, 34, 4, 50, 42, 25, 29, 39, 35, 19, 52, 54, 56, 12, 48, 31, 26, 33, 70, 20, 69, 23, 1, 57, 45, 47, 21, 40, 73, 51, 13, 46, 65, 61, 6","17, 10, 47, 71, 59, 28, 54, 75, 63, 31, 67, 33, 52, 12, 24, 49, 44, 65, 13, 46, 8, 40, 58, 62, 43, 29, 7, 74, 51, 16, 11, 27, 70, 22, 4, 38, 26, 60, 50, 18, 61, 14, 68, 6, 35, 73, 9, 1, 56, 32, 20, 42, 19, 34, 3, 2, 53, 36, 41, 15, 39, 66, 30, 23, 57, 64, 45, 48, 55, 72, 5, 21, 25, 69, 37","4","9210025"
"50, 3, 14, 4, 53, 8, 1, 9, 19, 57, 73, 5, 54, 10, 20, 64, 39, 37, 13, 38, 24, 27, 34, 35, 66, 17, 65, 6, 74, 46, 32, 56, 36, 31, 71, 21, 62, 12, 69, 42, 72, 70, 63, 43, 26, 55, 7, 16, 49, 51, 52, 67, 61, 41, 75, 58, 44, 68, 11, 40, 2, 18, 33, 48, 29, 60, 47, 15, 23, 45, 25, 59, 28, 22, 30","34, 69, 54, 8, 62, 42, 51, 37, 72, 71, 49, 2, 19, 6, 22, 38, 11, 24, 31, 58, 18, 25, 36, 41, 17, 21, 7, 75, 61, 70, 5, 48, 63, 1, 74, 13, 40, 4, 66, 12, 60, 73, 45, 33, 68, 26, 56, 23, 59, 67, 39, 14, 65, 52, 27, 43, 9, 16, 35, 46, 44, 57, 50, 30, 28, 55, 29, 64, 47, 32, 20, 10, 15, 53, 3","4","9210025"
